mean_sentiment,us_state,date,politician,ticket
0.3953,Virginia,2020-09-28,kamalaharris,Democrat
0.9505,Minnesota,2020-09-28,kamalaharris,Democrat
0.8625,Alabama,2020-09-28,kamalaharris,Democrat
0.16640358,Ohio,2020-09-28,kamalaharris,Democrat
0.0,Georgia,2020-09-28,kamalaharris,Democrat
0.0,Missouri,2020-09-28,kamalaharris,Democrat
0.7236,Illinois,2020-09-28,kamalaharris,Democrat
0.9505,Nebraska,2020-09-28,kamalaharris,Democrat
0.9656,South Carolina,2020-09-28,kamalaharris,Democrat
0.81264997,Louisiana,2020-09-28,kamalaharris,Democrat
-0.1553,Kansas,2020-09-28,kamalaharris,Democrat
0.9505,Wyoming,2020-09-28,kamalaharris,Democrat
0.08292499,Utah,2020-09-28,kamalaharris,Democrat
0.1837,Texas,2020-09-28,kamalaharris,Democrat
0.19965,Colorado,2020-09-28,kamalaharris,Democrat
0.25525,Michigan,2020-09-28,kamalaharris,Democrat
0.3968,Connecticut,2020-09-28,kamalaharris,Democrat
0.04744054,Florida,2020-09-28,kamalaharris,Democrat
0.296,Arizona,2020-09-28,kamalaharris,Democrat
0.61259997,Nevada,2020-09-28,kamalaharris,Democrat
0.25412,New York,2020-09-28,kamalaharris,Democrat
0.178281,no_loc,2020-09-28,kamalaharris,Democrat
-0.45845,Oregon,2020-09-28,kamalaharris,Democrat
0.0,New Jersey,2020-09-28,kamalaharris,Democrat
-0.5267,Kentucky,2020-09-28,kamalaharris,Democrat
0.14428906,other,2020-09-28,kamalaharris,Democrat
0.9656,Pennsylvania,2020-09-28,kamalaharris,Democrat
0.7184,Wisconsin,2020-09-28,kamalaharris,Democrat
0.7184,New Hampshire,2020-09-28,kamalaharris,Democrat
0.157356,California,2020-09-28,kamalaharris,Democrat
0.0,Tennessee,2020-09-28,kamalaharris,Democrat
0.0,Puerto Rico,2020-09-28,kamalaharris,Democrat
0.06545278,Florida,2020-09-29,kamalaharris,Democrat
0.21367499,Hawaii,2020-09-29,kamalaharris,Democrat
0.9505,North Dakota,2020-09-29,kamalaharris,Democrat
0.4404,Alaska,2020-09-29,kamalaharris,Democrat
-0.008891669,New Jersey,2020-09-29,kamalaharris,Democrat
-0.4127,Indiana,2020-09-29,kamalaharris,Democrat
0.15602499,Oregon,2020-09-29,kamalaharris,Democrat
0.12172,District of Columbia,2020-09-29,kamalaharris,Democrat
0.1955111,Maryland,2020-09-29,kamalaharris,Democrat
0.1595294,Minnesota,2020-09-29,kamalaharris,Democrat
0.18344615,Pennsylvania,2020-09-29,kamalaharris,Democrat
-0.15327272,Massachusetts,2020-09-29,kamalaharris,Democrat
-0.2963,South Dakota,2020-09-29,kamalaharris,Democrat
0.5199,Mississippi,2020-09-29,kamalaharris,Democrat
-0.1713909,Tennessee,2020-09-29,kamalaharris,Democrat
0.15382001,Utah,2020-09-29,kamalaharris,Democrat
0.31359997,Nebraska,2020-09-29,kamalaharris,Democrat
0.17230399,Illinois,2020-09-29,kamalaharris,Democrat
0.050923076,Washington,2020-09-29,kamalaharris,Democrat
0.19812,West Virginia,2020-09-29,kamalaharris,Democrat
0.016266668,New York,2020-09-29,kamalaharris,Democrat
-0.08373333,Wisconsin,2020-09-29,kamalaharris,Democrat
0.0195,Georgia,2020-09-29,kamalaharris,Democrat
0.075782955,Kansas,2020-09-29,kamalaharris,Democrat
-0.013399999,Alabama,2020-09-29,kamalaharris,Democrat
0.015500002,Nevada,2020-09-29,kamalaharris,Democrat
0.5574,Kentucky,2020-09-29,kamalaharris,Democrat
0.048499998,Virginia,2020-09-29,kamalaharris,Democrat
-0.058541663,Michigan,2020-09-29,kamalaharris,Democrat
-0.04185,Montana,2020-09-29,kamalaharris,Democrat
0.273,Louisiana,2020-09-29,kamalaharris,Democrat
0.10358667,Missouri,2020-09-29,kamalaharris,Democrat
-0.3871,Puerto Rico,2020-09-29,kamalaharris,Democrat
0.0643,Vermont,2020-09-29,kamalaharris,Democrat
0.115136,North Carolina,2020-09-29,kamalaharris,Democrat
0.109933466,no_loc,2020-09-29,kamalaharris,Democrat
-0.0023400025,Colorado,2020-09-29,kamalaharris,Democrat
0.013009679,other,2020-09-29,kamalaharris,Democrat
0.10861803,Texas,2020-09-29,kamalaharris,Democrat
0.20525,Iowa,2020-09-29,kamalaharris,Democrat
0.2319125,Oklahoma,2020-09-29,kamalaharris,Democrat
0.0,Delaware,2020-09-29,kamalaharris,Democrat
0.20839,Arizona,2020-09-29,kamalaharris,Democrat
-0.38001665,South Carolina,2020-09-29,kamalaharris,Democrat
0.25800002,Ohio,2020-09-29,kamalaharris,Democrat
-0.17,Rhode Island,2020-09-29,kamalaharris,Democrat
0.20166892,California,2020-09-29,kamalaharris,Democrat
-0.4019,New Hampshire,2020-09-29,kamalaharris,Democrat
-0.56493336,Iowa,2020-09-30,donaldtrump,Republican
0.0,Delaware,2020-09-30,kamalaharris,Democrat
-0.29053333,Louisiana,2020-09-30,donaldtrump,Republican
-0.03656,Maryland,2020-09-30,donaldtrump,Republican
-0.023983331,other,2020-09-30,kamalaharris,Democrat
0.20555,Iowa,2020-09-30,kamalaharris,Democrat
0.3753,North Dakota,2020-09-30,donaldtrump,Republican
0.13863333,Colorado,2020-09-30,kamalaharris,Democrat
-0.17474546,Kansas,2020-09-30,donaldtrump,Republican
0.044566665,Hawaii,2020-09-30,donaldtrump,Republican
0.0025714263,Georgia,2020-09-30,kamalaharris,Democrat
-0.17266782,other,2020-09-30,donaldtrump,Republican
-0.20284137,New York,2020-09-30,donaldtrump,Republican
0.23424333,Florida,2020-09-30,kamalaharris,Democrat
-0.103344895,California,2020-09-30,donaldtrump,Republican
0.0,Washington,2020-09-30,kamalaharris,Democrat
0.2119,Arkansas,2020-09-30,kamalaharris,Democrat
-0.38788,Colorado,2020-09-30,donaldtrump,Republican
-0.5584333,Montana,2020-09-30,donaldtrump,Republican
0.25,Wyoming,2020-09-30,donaldtrump,Republican
-0.19067499,Missouri,2020-09-30,donaldtrump,Republican
0.9638,New Hampshire,2020-09-30,kamalaharris,Democrat
-0.44405,Mississippi,2020-09-30,kamalaharris,Democrat
-0.7783,Idaho,2020-09-30,kamalaharris,Democrat
0.0,New Mexico,2020-09-30,donaldtrump,Republican
-0.032275006,Virginia,2020-09-30,kamalaharris,Democrat
-0.4019,Tennessee,2020-09-30,kamalaharris,Democrat
-0.1367375,Missouri,2020-09-30,kamalaharris,Democrat
-0.279025,Pennsylvania,2020-09-30,donaldtrump,Republican
-0.088824995,Illinois,2020-09-30,kamalaharris,Democrat
0.010640001,Maryland,2020-09-30,kamalaharris,Democrat
-0.6806,Idaho,2020-09-30,donaldtrump,Republican
0.16639231,Michigan,2020-09-30,kamalaharris,Democrat
-0.294125,Florida,2020-09-30,donaldtrump,Republican
-0.14734462,no_loc,2020-09-30,donaldtrump,Republican
-0.20095,Mississippi,2020-09-30,donaldtrump,Republican
-0.13357647,Kansas,2020-09-30,kamalaharris,Democrat
-0.14862,Massachusetts,2020-09-30,donaldtrump,Republican
-0.7633,Maine,2020-09-30,donaldtrump,Republican
-0.1828,New Hampshire,2020-09-30,donaldtrump,Republican
0.5991,West Virginia,2020-09-30,kamalaharris,Democrat
-0.15660769,Oregon,2020-09-30,donaldtrump,Republican
-0.008649997,Washington,2020-09-30,donaldtrump,Republican
-0.2612647,North Carolina,2020-09-30,donaldtrump,Republican
-0.041293327,Illinois,2020-09-30,donaldtrump,Republican
-0.09258571,Arizona,2020-09-30,donaldtrump,Republican
0.159225,Oklahoma,2020-09-30,donaldtrump,Republican
-0.57519996,Delaware,2020-09-30,donaldtrump,Republican
-0.389525,Indiana,2020-09-30,donaldtrump,Republican
-0.38662,Nevada,2020-09-30,donaldtrump,Republican
0.17781666,Oregon,2020-09-30,kamalaharris,Democrat
-0.25086427,Ohio,2020-09-30,donaldtrump,Republican
0.2751889,Pennsylvania,2020-09-30,kamalaharris,Democrat
-0.14756,New Jersey,2020-09-30,kamalaharris,Democrat
-0.16235,Connecticut,2020-09-30,kamalaharris,Democrat
-0.05070001,Utah,2020-09-30,kamalaharris,Democrat
0.38625002,Puerto Rico,2020-09-30,kamalaharris,Democrat
-0.1828,West Virginia,2020-09-30,donaldtrump,Republican
-0.56775,Tennessee,2020-09-30,donaldtrump,Republican
0.4374,New Mexico,2020-09-30,kamalaharris,Democrat
-0.021139994,Virginia,2020-09-30,donaldtrump,Republican
-0.19602858,New York,2020-09-30,kamalaharris,Democrat
0.04749999,Connecticut,2020-09-30,donaldtrump,Republican
0.075145714,California,2020-09-30,kamalaharris,Democrat
0.0,Nebraska,2020-09-30,kamalaharris,Democrat
-0.6931,Arkansas,2020-09-30,donaldtrump,Republican
-0.3593111,South Carolina,2020-09-30,donaldtrump,Republican
0.10888889,District of Columbia,2020-09-30,kamalaharris,Democrat
0.1322,Utah,2020-09-30,donaldtrump,Republican
0.06764,North Carolina,2020-09-30,kamalaharris,Democrat
-0.08852499,Louisiana,2020-09-30,kamalaharris,Democrat
0.37815,Indiana,2020-09-30,kamalaharris,Democrat
-0.13738333,Minnesota,2020-09-30,donaldtrump,Republican
0.023610003,Ohio,2020-09-30,kamalaharris,Democrat
0.06652728,New Jersey,2020-09-30,donaldtrump,Republican
0.20582728,Arizona,2020-09-30,kamalaharris,Democrat
0.038718186,Michigan,2020-09-30,donaldtrump,Republican
-0.30243334,Kentucky,2020-09-30,donaldtrump,Republican
0.2263,South Dakota,2020-09-30,donaldtrump,Republican
0.04061666,South Carolina,2020-09-30,kamalaharris,Democrat
-0.5262,Montana,2020-09-30,kamalaharris,Democrat
0.34985,Nevada,2020-09-30,kamalaharris,Democrat
0.23945001,Alabama,2020-09-30,kamalaharris,Democrat
-0.064825,Minnesota,2020-09-30,kamalaharris,Democrat
0.025558308,no_loc,2020-09-30,kamalaharris,Democrat
-0.2263,Puerto Rico,2020-09-30,donaldtrump,Republican
-0.17062142,Georgia,2020-09-30,donaldtrump,Republican
-0.008726412,Texas,2020-09-30,donaldtrump,Republican
0.2997,Kentucky,2020-09-30,kamalaharris,Democrat
-0.14013334,Massachusetts,2020-09-30,kamalaharris,Democrat
-0.13443846,District of Columbia,2020-09-30,donaldtrump,Republican
-0.24415715,Alabama,2020-09-30,donaldtrump,Republican
-0.10404,Wisconsin,2020-09-30,donaldtrump,Republican
-0.7351,Alaska,2020-09-30,donaldtrump,Republican
0.049869444,Texas,2020-09-30,kamalaharris,Democrat
0.3716,Alaska,2020-09-30,kamalaharris,Democrat
-0.075327665,New York,2020-10-01,joebiden,Democrat
0.0025923087,California,2020-10-01,joebiden,Democrat
-0.1546,Texas,2020-10-01,donaldtrump,Republican
0.18936364,Maryland,2020-10-01,joebiden,Democrat
0.44206667,Georgia,2020-10-01,mikepence,Republican
-0.12920704,Texas,2020-10-01,joebiden,Democrat
0.17635,Hawaii,2020-10-01,donaldtrump,Republican
0.11316641,no_loc,2020-10-01,kamalaharris,Democrat
0.5423,Rhode Island,2020-10-01,kamalaharris,Democrat
0.30029166,Colorado,2020-10-01,kamalaharris,Democrat
0.078035004,Virginia,2020-10-01,joebiden,Democrat
-0.168875,Illinois,2020-10-01,donaldtrump,Republican
0.116328575,Missouri,2020-10-01,kamalaharris,Democrat
